claim_id,image_name,nli_comparisons,entailment_count,contradiction_count,neutral_count,consistency_score,consistency_percent
documerica_0052.jpg_claim_3,documerica_0052.jpg,1,1,0,0,1.0,100.0
documerica_0074.jpg_claim_21,documerica_0074.jpg,3,3,0,0,1.0,100.0
documerica_0082.jpg_claim_7,documerica_0082.jpg,9,2,4,3,0.3333333333333333,33.33333333333333
documerica_0054.jpg_claim_4,documerica_0054.jpg,0,0,0,0,,
documerica_0057.jpg_claim_15,documerica_0057.jpg,7,1,2,4,0.3333333333333333,33.33333333333333
documerica_0059.jpg_claim_1,documerica_0059.jpg,5,1,0,4,1.0,100.0
documerica_0051.jpg_claim_2,documerica_0051.jpg,1,0,0,1,,
documerica_0046.jpg_claim_12,documerica_0046.jpg,4,2,0,2,1.0,100.0
documerica_0054.jpg_claim_12,documerica_0054.jpg,0,0,0,0,,
documerica_0008.jpg_claim_17,documerica_0008.jpg,8,8,0,0,1.0,100.0
documerica_0065.jpg_claim_11,documerica_0065.jpg,1,0,0,1,,
documerica_0021.jpg_claim_14,documerica_0021.jpg,1,0,0,1,,
documerica_0086.jpg_claim_17,documerica_0086.jpg,7,0,2,5,0.0,0.0
documerica_0027.jpg_claim_12,documerica_0027.jpg,1,0,0,1,,
documerica_0056.jpg_claim_9,documerica_0056.jpg,16,2,2,12,0.5,50.0
documerica_0047.jpg_claim_20,documerica_0047.jpg,2,1,1,0,0.5,50.0
documerica_0045.jpg_claim_13,documerica_0045.jpg,2,0,0,2,,
documerica_0024.jpg_claim_3,documerica_0024.jpg,1,0,0,1,,
documerica_0081.jpg_claim_6,documerica_0081.jpg,0,0,0,0,,
documerica_0029.jpg_claim_21,documerica_0029.jpg,0,0,0,0,,
documerica_0024.jpg_claim_24,documerica_0024.jpg,3,0,0,3,,
documerica_0089.jpg_claim_8,documerica_0089.jpg,9,0,2,7,0.0,0.0
documerica_0025.jpg_claim_19,documerica_0025.jpg,2,0,0,2,,
documerica_0065.jpg_claim_3,documerica_0065.jpg,16,10,0,6,1.0,100.0
documerica_0067.jpg_claim_4,documerica_0067.jpg,1,0,0,1,,
documerica_0021.jpg_claim_2,documerica_0021.jpg,3,1,1,1,0.5,50.0
documerica_0079.jpg_claim_18,documerica_0079.jpg,1,0,0,1,,
documerica_0029.jpg_claim_3,documerica_0029.jpg,2,1,0,1,1.0,100.0
